        第1学期
        高等数学	        高等数学	               0	        高等数学	    程序设计基础	
        高等数学	        高等数学	               0	        高等数学	    程序设计基础	
               0	        大学语文	            英语	               0	               0	
               0	        大学语文	            英语	               0	               0	
               0	        大学语文	            英语	               0	               0	
  计算机组成原理	  计算机组成原理	               0	  计算机组成原理	            英语	
  计算机组成原理	  计算机组成原理	               0	  计算机组成原理	            英语	
               0	               0	    程序设计基础	               0	               0	
               0	               0	    程序设计基础	               0	               0	
               0	               0	    程序设计基础	               0	               0	


        第2学期
        线性代数	        线性代数	        数值分析	        线性代数	        汇编语言	
        线性代数	        线性代数	        数值分析	        线性代数	        汇编语言	
               0	               0	            英语	        数值分析	               0	
               0	               0	            英语	        数值分析	               0	
               0	               0	            英语	               0	               0	
        离散数学	        离散数学	        数值分析	        离散数学	            英语	
        离散数学	        离散数学	        数值分析	        离散数学	            英语	
               0	               0	        汇编语言	               0	               0	
               0	               0	        汇编语言	               0	               0	
               0	               0	        汇编语言	               0	               0	


        第3学期
        普通物理	  计算机系统结构	        普通物理	        数据通信	        数据通信	
        普通物理	  计算机系统结构	        普通物理	        数据通信	        数据通信	
               0	      计算机文化	            英语	        数据通信	               0	
               0	      计算机文化	            英语	        数据通信	               0	
               0	      计算机文化	            英语	               0	               0	
    数据结构算法	  计算机系统结构	    数据结构算法	  计算机系统结构	            英语	
    数据结构算法	  计算机系统结构	    数据结构算法	  计算机系统结构	            英语	
               0	               0	               0	               0	               0	
               0	               0	               0	               0	               0	
               0	               0	               0	               0	               0	


        第4学期
        微机原理	               0	        微机原理	               0	        编译原理	
        微机原理	               0	        微机原理	               0	        编译原理	
               0	      单片机应用	            英语	               0	               0	
               0	      单片机应用	            英语	               0	               0	
               0	      单片机应用	            英语	               0	               0	
        算法设计	    操作系统原理	        算法设计	    操作系统原理	            英语	
        算法设计	    操作系统原理	        算法设计	    操作系统原理	            英语	
               0	               0	        编译原理	               0	               0	
               0	               0	        编译原理	               0	               0	
               0	               0	        编译原理	               0	               0	


        第5学期
          C#.net	               0	               0	               0	      数据库原理	
          C#.net	               0	               0	               0	      数据库原理	
               0	面向对象程序设计	            英语	      计算机网络	               0	
               0	面向对象程序设计	            英语	      计算机网络	               0	
               0	面向对象程序设计	            英语	      计算机网络	               0	
      计算机网络	               0	               0	               0	            英语	
      计算机网络	               0	               0	               0	            英语	
               0	            Java	      数据库原理	          C#.net	               0	
               0	            Java	      数据库原理	          C#.net	               0	
               0	            Java	      数据库原理	          C#.net	               0	


        第6学期
     JSP程序设计	               0	               0	               0	    PowerBuilder	
     JSP程序设计	               0	               0	               0	    PowerBuilder	
               0	            VC++	            英语	     ASP程序设计	          VB.net	
               0	            VC++	            英语	     ASP程序设计	          VB.net	
               0	            VC++	            英语	     ASP程序设计	          VB.net	
     ASP程序设计	          VB.net	               0	               0	            英语	
     ASP程序设计	          VB.net	               0	               0	            英语	
               0	               0	    PowerBuilder	     JSP程序设计	               0	
               0	               0	    PowerBuilder	     JSP程序设计	               0	
               0	               0	    PowerBuilder	     JSP程序设计	               0	


        第7学期
               0	               0	               0	               0	          Delphi	
               0	               0	               0	               0	          Delphi	
               0	               0	            英语	      C++Builder	               0	
               0	               0	            英语	      C++Builder	               0	
               0	               0	            英语	      C++Builder	               0	
      C++Builder	               0	               0	               0	            英语	
      C++Builder	               0	               0	               0	            英语	
               0	               0	          Delphi	               0	               0	
               0	               0	          Delphi	               0	               0	
               0	               0	          Delphi	               0	               0	


        第8学期
               0	               0	               0	               0	               0	
               0	               0	               0	               0	               0	
               0	               0	            英语	               0	               0	
               0	               0	            英语	               0	               0	
               0	               0	            英语	               0	               0	
               0	               0	               0	               0	            英语	
               0	               0	               0	               0	            英语	
               0	               0	               0	               0	               0	
               0	               0	               0	               0	               0	
               0	               0	               0	               0	               0	


